uniprotkb_canonical_ac,ensembl_gene_id
P11049-1,ENSG00000104894
Q9C0D9-1,ENSG00000138018
O43301-1,ENSG00000165868
Q8N7X1-1,ENSG00000175718
A6NEH8-1,ENSG00000237149
Q8N7X2-2,ENSG00000197768
P61296-1,ENSG00000164107
Q08AH1-1,ENSG00000166743
A6NEH6-1,ENSG00000284701
Q08AH3-1,ENSG00000183747
Q96DP5-1,ENSG00000103707
Q96T53-1,ENSG00000177669
P43378-1,ENSG00000169410
Q8NA97-1,ENSG00000181171
Q15819-1,ENSG00000169139
Q0VDD8-1,ENSG00000185842
P20138-1,ENSG00000105383
P12532-1,ENSG00000223572
Q96NJ6-1,ENSG00000180787
Q96NJ5-1,ENSG00000186231
Q96NJ3-1,ENSG00000267508
P58417-1,ENSG00000122584
P58418-3,ENSG00000163646
O15479-1,ENSG00000099399
Q86VB7-1,ENSG00000177575
P56703-1,ENSG00000108379
P56706-1,ENSG00000188064
P56704-1,ENSG00000154342
P56705-1,ENSG00000162552
O43895-1,ENSG00000122121
Q9Y2I2-3,ENSG00000162631
Q9H790-1,ENSG00000164002
Q9H792-1,ENSG00000173517
P24588-1,ENSG00000179841
Q86WR6-1,ENSG00000141371
Q8NE22-1,ENSG00000155542
O75626-1,ENSG00000057657
Q9BY43-1,ENSG00000254505
O75629-1,ENSG00000143162
O75628-1,ENSG00000088320
Q8TE85-1,ENSG00000158055
P30988-2,ENSG00000004948
Q8TE82-1,ENSG00000125089
Q8NGP4-1,ENSG00000174937
Q8NGP0-1,ENSG00000258817
Q8NGP2-1,ENSG00000172487
Q8NGP3-1,ENSG00000150269
Q96R84-1,ENSG00000203581
Q8WVJ2-1,ENSG00000170584
Q8NFL0-1,ENSG00000156966
Q9BQ13-1,ENSG00000151364
Q8N4Z0-2,ENSG00000188060
G9CGD6-1,ENSG00000074706
Q8N4C9-1,ENSG00000278505
Q6PCB8-1,ENSG00000170571
Q6PCB6-1,ENSG00000136379
Q6PCB7-1,ENSG00000130304
A6NGB9-1,ENSG00000122574
Q6PCB5-1,ENSG00000187257
Q6PCB0-1,ENSG00000179403
P81172-1,ENSG00000105697
Q5JQF7-1,ENSG00000204709
P22749-1,ENSG00000115523
P22748-1,ENSG00000167434
Q6NUK4-1,ENSG00000165476
Q6NUK1-1,ENSG00000085491
P26678-1,ENSG00000198523
Q8WY07-1,ENSG00000165349
A0A0A6YYD4-1,ENSG00000276405
Q8NGY1-1,ENSG00000198967
Q8NCQ7-1,ENSG00000167525
Q8NCQ5-1,ENSG00000141665
Q8NCQ3-1,ENSG00000181995
Q8NCQ2-1,ENSG00000180846
O43304-1,ENSG00000103184
O43307-1,ENSG00000131089
O43306-1,ENSG00000174233
Q8N7X0-1,ENSG00000118492
O43303-1,ENSG00000103540
O43309-1,ENSG00000158691
P04818-1,ENSG00000176890
Q9BW62-1,ENSG00000102781
Q9BW61-1,ENSG00000130311
Q9BW60-1,ENSG00000066322
Q9BW66-1,ENSG00000100865
P0CJ68-1,ENSG00000256618
Q6P1J9-1,ENSG00000134371
Q8BH24-1,ENSMUSP00000086422
Q8BH27-1,ENSMUSP00000102982
Q8BH26-1,ENSMUSP00000054611
Q922G0-1,ENSMUSP00000082302
Q9DAV8-1,ENSMUSP00000006664
O35453-1,ENSMUSP00000103737
Q8VF69-1,ENSMUSP00000054824
Q8VF63-1,ENSMUSP00000074193
Q8VF60-1,ENSMUSP00000148266
Q9Z2D8-1,ENSMUSP00000089948
Q8VF66-1,ENSMUSP00000075122
Q8VF65-1,ENSMUSP00000072810
Q8VF64-1,ENSMUSP00000072741
Q80T32-1,ENSMUSP00000060307
B2RXV4-1,ENSMUSP00000082777
P62492-1,ENSMUSP00000129163
E9Q3P4-1,ENSMUSP00000129738
P63166-1,ENSMUSP00000088935
D3YX29-1,ENSMUSP00000139767
A0A087WPJ1-1,ENSMUSP00000139797
A0A087WRQ3-1,ENSMUSP00000140728
Q9CXG9-1,ENSMUSP00000028232
Q07968-1,ENSMUSP00000027615
A5H0M4-1,ENSMUSP00000080069
Q9CXG3-1,ENSMUSP00000015901
A6PWV5-1,ENSMUSP00000081748
B1AQ89-1,ENSMUSP00000100533
Q8R5F8-1,ENSMUSP00000125840
Q9R099-1,ENSMUSP00000115011
A0A1B0GST8-1,ENSMUSP00000148067
Q6P549-1,ENSMUSP00000132883
Q61470-1,ENSMUSP00000096061
O35400-1,ENSMUSP00000075005
B1AQ87-1,ENSMUSP00000100694
B1AQ85-1,ENSMUSP00000056162
A0A1B0GST0-1,ENSMUSP00000148058
Q3UU21-1,ENSMUSP00000095461
P03899-1,ENSMUSP00000080998
Q3TC93-1,ENSMUSP00000020927
O35153-1,ENSMUSP00000026557
A2RSJ4-1,ENSMUSP00000020112
Q91YE9-1,ENSMUSP00000002456
Q02853-1,ENSMUSP00000112940
Q8BRF7-1,ENSMUSP00000021335
Q6DYE8-1,ENSMUSP00000020169
L0N7N1-1,ENSMUSP00000139698
Q9R092-1,ENSMUSP00000151661
Q9D7Y9-1,ENSMUSP00000136131
Q9QYH9-1,ENSMUSP00000005976
P52479-1,ENSMUSP00000104616
A0A0U1RNG7-1,ENSMUSP00000145558
B1AXU1-1,ENSMUSP00000074433
P02762-1,ENSMUSP00000092661
Q9QYH6-1,ENSMUSP00000026142
Q3SXJ3-1,ENSMUSP00000097397
P97427-1,ENSMUSP00000031004
Q08AU7-1,ENSMUSP00000158986
P97371-1,ENSMUSP00000134735
Q5EBH1-1,ENSMUSP00000027688
Q8CH77-1,ENSMUSP00000067241
Q91XC8-1,ENSMUSP00000047186
A0A087WSM5-1,ENSMUSP00000141109
Q9ESK3-1,ENSMUSP00000027488
Q99JR6-1,ENSMUSP00000108557
E9Q295-1,ENSMUSP00000109881
Q3TY65-1,ENSMUSP00000027172
Q9Z2A9-1,ENSMUSP00000072074
A2AVK5-1,ENSMUSP00000107168
Q80YU0-1,ENSMUSP00000066520
Q8BTY1-1,ENSMUSP00000038612
A0A668KLU9-1,ENSMUSP00000159242
Q61406-1,ENSMUSP00000023965
Q5SRT8-1,ENSMUSP00000058111
Q3V0C5-1,ENSMUSP00000055016
Q8BWC0-1,ENSMUSP00000061308
A0A571BGC3-1,ENSMUSP00000158787
P10078-1,ENSMUSP00000079812
A0A140LJ72-1,ENSMUSP00000147104
Q8BP74-1,ENSMUSP00000075037
A0A140LIA7-1,ENSMUSP00000146742
Q80UW3-1,ENSMUSP00000146576
Q9QYC7-1,ENSMUSP00000070109
O54887-1,ENSMUSP00000112673
P10852-1,ENSMUSP00000010239
B2RRA8-1,ENSMUSP00000083173
Q3UMR0-1,ENSMUSP00000041751
P70419-1,ENSMUSP00000028378
Q9EP78-1,ENSMUSP00000043222
Q9EP79-1,ENSMUSP00000154082
Q6ZQ18-1,ENSMUSP00000106809
Q3URK3-1,ENSMUSP00000059527
Q9EP73-1,ENSMUSP00000016640
Q9EP71-1,ENSMUSP00000126325
P84089-1,ENSMUSP00000147411
Q8CFI2-1,ENSMUSP00000020550
P12382-1,ENSMUSP00000020522
Q9EP75-1,ENSMUSP00000136139
Q9CZ05-1,ENSMUSP00000106448
Q3URK1-1,ENSMUSP00000091908
Q8BYZ1-1,ENSMUSP00000061893
Q80V24-1,ENSMUSP00000032459
V9GXR0-1,ENSMUSP00000139275
Q9EQC4-1,ENSMUSP00000034796
Q9Z266-1,ENSMUSP00000122090
Q9CQL4-1,ENSMUSP00000139122
P63015-1,ENSMUSP00000106716
Q6QLQ4-1,ENSMUSP00000107707
P58404-1,ENSMUSP00000019220
P16951-1,ENSMUSP00000058521
D3YWQ0-1,ENSMUSP00000099071
P30282-1,ENSMUSP00000126141
P97411-1,ENSMUSP00000040062
Q3UHI0-1,ENSMUSP00000087478
S4R213-1,ENSMUSP00000138455
P53702-1,ENSMUSP00000107743
Q8R349-1,ENSMUSP00000047950
Q8R344-1,ENSMUSP00000019803
O08911-1,ENSMUSP00000086207
Q80WC9-1,ENSMUSP00000113792
O08912-1,ENSMUSP00000132142
O08915-1,ENSMUSP00000113807
O08914-1,ENSMUSP00000041543
O08917-1,ENSMUSP00000001569
O08918-1,ENSMUSP00000031331
Q80WC1-1,ENSMUSP00000124043
Q80WC7-1,ENSMUSP00000031736
Q9JHY4-1,ENSMUSP00000018355
Q8R3V5-4,ENSMUSP00000097788
Q80YW0-1,ENSMUSP00000042698
Q9D0M3-1,ENSMUSP00000023210
Q9CQA0-1,ENSMUSP00000086560
Q8C138-1,ENSMUSP00000113661
Q91ZK4-1,ENSMUSP00000081366
Q91ZK0-1,ENSMUSP00000037699
Q6ZQ93-1,ENSMUSP00000137430
Q91VH6-1,ENSMUSP00000156607
Q9WTP3-1,ENSMUSP00000127056
Q9Z1B7-1,ENSMUSP00000156387
E9PVB3-1,ENSMUSP00000021494
Q9D4U7-1,ENSMUSP00000048953
Q9D4U4-1,ENSMUSP00000052025
B8JJZ7-1,ENSMUSP00000050728
A0A3Q4EGJ1-1,ENSMUSP00000156991
D3YVV3-1,ENSMUSP00000114028
Q9Z0E2-1,ENSMUSP00000007171
P33587-1,ENSMUSP00000157269
Q8R261-1,ENSMUSP00000154543
Q9CRW3-1,ENSMUSP00000108263
A0A1L1SU27-1,ENSMUSP00000150574
Q8BXQ6-1,ENSMUSP00000089148
Q922Z0-1,ENSMUSP00000019977
A0A0G2JEB6-1,ENSMUSP00000142707
F8VQ94-1,ENSMUSP00000104255
Q811W0-1,ENSMUSP00000127396
Q811W1-1,ENSMUSP00000087479
Q3UHQ6-1,ENSMUSP00000044437
P62717-1,ENSMUSP00000058368
Q8BZM0-1,ENSMUSP00000027725
Q8BZM1-1,ENSMUSP00000077168
A0A0A6YXX9-1,ENSMUSP00000142187
A2BEI8-1,ENSMUSP00000102942
A0A2I3BRZ3-1,ENSMUSP00000154785
Q60819-1,ENSMUSP00000077878
Q925E7-1,ENSMUSP00000040321
Q4VC33-1,ENSMUSP00000110093
Q8C0L9-1,ENSMUSP00000062221
Q66GT5-1,ENSMUSP00000159390
Q8BTJ4-1,ENSMUSP00000024757
Q9CXV9-1,ENSMUSP00000150564
Q4G5Y1-1,ENSMUSP00000021362
P59708-1,ENSMUSP00000043662
E9PYR1-1,ENSMUSP00000106394
F8VQK3-1,ENSMUSP00000111398
Q91UZ1-1,ENSMUSP00000038409
A2AT96-1,ENSMUSP00000097449
Q9D387-1,ENSMUSP00000061180
P97496-1,ENSMUSP00000086094
Q3V3Q4-1,ENSMUSP00000128958
Q7M729-1,ENSMUSP00000062507
L7N1X3-1,ENSMUSP00000147068
Q3V3Q7-1,ENSMUSP00000152145
Q7M724-1,ENSMUSP00000076043
Q7M725-1,ENSMUSP00000067082
Q7M720-1,ENSMUSP00000093044
Q7M721-1,ENSMUSP00000071626
Q7M722-1,ENSMUSP00000079453
Q7M723-1,ENSMUSP00000072237
P60755-1,ENSMUSP00000152613
O54965-1,ENSMUSP00000049331
P12660-1,ENSMUSP00000122902
P10649-1,ENSMUSP00000004140
P10648-1,ENSMUSP00000034902
Q3UHF7-1,ENSMUSP00000140290
Q3UHF3-1,ENSMUSP00000104895
Q6PCX8-1,ENSMUSP00000079268
Q9Z0H4-1,ENSMUSP00000138363
Q9D516-1,ENSMUSP00000096177
Q9D517-1,ENSMUSP00000101026
P10923-1,ENSMUSP00000031243
Q9D515-1,ENSMUSP00000086118
Q9D513-1,ENSMUSP00000024972
Q99L47-1,ENSMUSP00000130195
Q9D518-1,ENSMUSP00000136349
Q9D519-1,ENSMUSP00000080966
Q61161-1,ENSMUSP00000025897
Q8K2M0-1,ENSMUSP00000102047
Q8K2M3-1,ENSMUSP00000031289
Q9DAN6-1,ENSMUSP00000023129
Q8VC52-1,ENSMUSP00000057600
P21661-1,ENSMUSP00000028905
Q9CQ02-1,ENSMUSP00000069078
Q64693-1,ENSMUSP00000034554
Q8BIQ5-1,ENSMUSP00000033609
E9Q343-1,ENSMUSP00000120015
O88668-1,ENSMUSP00000107060
Q8BIQ3-1,ENSMUSP00000105995
P30115-1,ENSMUSP00000027067
O88662-1,ENSMUSP00000077466
Q91WG5-1,ENSMUSP00000030784
Q8BIQ8-1,ENSMUSP00000052194
O88665-1,ENSMUSP00000034085
Q9D1G3-1,ENSMUSP00000035110
Q7TPD6-1,ENSMUSP00000043142
Q8K1M4-1,ENSMUSP00000035650
F6ZPB0-1,ENSMUSP00000108924
A2A9I7-1,ENSMUSP00000064220
P58462-1,ENSMUSP00000108948
Q9DBU0-1,ENSMUSP00000112764
Q6P8I4-1,ENSMUSP00000110087
Q9DB07-1,ENSMUSP00000113845
Q9Z1M0-1,ENSMUSP00000098303
Q9DB05-1,ENSMUSP00000006181
Q8BLQ7-1,ENSMUSP00000067243
Q8K2A8-1,ENSMUSP00000045272
Q14BV6-1,ENSMUSP00000069864
Q8BWU3-1,ENSMUSP00000060194
Q7TQ33-1,ENSMUSP00000126177
Q9Z1T1-1,ENSMUSP00000022196
Q924H2-1,ENSMUSP00000012259
Q8K2J4-1,ENSMUSP00000023532
Q6P3D7-1,ENSMUSP00000004473
Q6P3D0-1,ENSMUSP00000035179
P48615-1,ENSMUSP00000064333
P03893-1,ENSMUSP00000080992
A2AUY4-1,ENSMUSP00000108169
Q8K1E0-1,ENSMUSP00000073136
Q8VC03-1,ENSMUSP00000093960
Q9JI46-1,ENSMUSP00000025050
Q4KWH5-1,ENSMUSP00000081122
Q8BW86-1,ENSMUSP00000063284
Q8BW88-1,ENSMUSP00000035440
Q8BJ51-1,ENSMUSP00000021173
P83093-1,ENSMUSP00000113174
Q60928-1,ENSMUSP00000006508
D3YWW5-1,ENSMUSP00000115114
Q8CDD9-1,ENSMUSP00000096346
Q4LDD4-1,ENSMUSP00000081958
Q8BYR8-1,ENSMUSP00000036690
P51829-1,ENSMUSP00000096122
Q8VBT9-1,ENSMUSP00000026135
Q8BYW9-1,ENSMUSP00000061610
P22727-1,ENSMUSP00000006716
E9Q286-1,ENSMUSP00000036482
E9Q401-1,ENSMUSP00000021750
Q9R061-1,ENSMUSP00000049319
Q8C208-1,ENSMUSP00000114404
Q3UA06-1,ENSMUSP00000022053
A0A1Y7VK00-1,ENSMUSP00000152719
Q6PDM4-1,ENSMUSP00000075898
Q8BGW0-1,ENSMUSP00000060129
Q8BGW3-1,ENSMUSP00000104506
Q8BGW2-1,ENSMUSP00000107486
Q497P9-1,ENSMUSP00000094099
Q8BGW4-1,ENSMUSP00000110709
Q6PDM2-1,ENSMUSP00000120595
Q8BGW9-1,ENSMUSP00000052589
Q8BGW8-1,ENSMUSP00000124091
P22726-1,ENSMUSP00000113188
O70583-1,ENSMUSP00000107732
Q497P3-1,ENSMUSP00000137364
Q3U3I9-1,ENSMUSP00000075601
Q62108-1,ENSMUSP00000104229
P29699-1,ENSMUSP00000023583
Q8VDM4-1,ENSMUSP00000007212
P22725-1,ENSMUSP00000064878
Q5M6W3-1,ENSMUSP00000020753
Q8BFP9-1,ENSMUSP00000006669
B2RUK9-1,ENSMUSP00000059686
Q499E0-1,ENSMUSP00000126074
Q4VAH7-1,ENSMUSP00000058882
Q499E4-1,ENSMUSP00000077475
Q499E5-1,ENSMUSP00000078190
Q499E6-1,ENSMUSP00000154851
P22724-1,ENSMUSP00000036580
Q61749-1,ENSMUSP00000076875
Q497K7-1,ENSMUSP00000039338
F8VQ05-1,ENSMUSP00000092289
Q9JJG7-1,ENSMUSP00000083193
Q8C042-1,ENSMUSP00000062584
Q9Z2H2-1,ENSMUSP00000143801
P70326-1,ENSMUSP00000018407
Q8BJU2-1,ENSMUSP00000107794
A2BFU4-1,ENSMUSP00000104575
P97813-1,ENSMUSP00000018429
J3QK46-1,ENSMUSP00000137246
Q8R2R1-1,ENSMUSP00000038722
Q8R1N3-1,ENSMUSP00000081167
A2AAE1-1,ENSMUSP00000060199
Q3TEW6-1,ENSMUSP00000107062
P62631-1,ENSMUSP00000054556
Q3U2U7-1,ENSMUSP00000047720
Q3TNL8-1,ENSMUSP00000093697
A0A1B0GSI5-1,ENSMUSP00000147949
I7HJI5-1,ENSMUSP00000021837
E9Q2M9-1,ENSMUSP00000117068
B8QI36-1,ENSMUSP00000128314
Q812A5-1,ENSMUSP00000066396
Q9D6A1-1,ENSMUSP00000118824
Q5DTV4-1,ENSMUSP00000150821
Q9QZD4-1,ENSMUSP00000023206
Q9EPK6-1,ENSMUSP00000025215
L7N480-1,ENSMUSP00000133885
Q9QZD9-1,ENSMUSP00000099653
Q9QZD8-1,ENSMUSP00000026899
Q8R1J9-1,ENSMUSP00000009707
A2AQ25-1,ENSMUSP00000066170
Q8BVU0-1,ENSMUSP00000023491
E9QAU8-1,ENSMUSP00000026494
Q9CUX1-1,ENSMUSP00000033009
A2CG07-1,ENSMUSP00000107457
P27699-1,ENSMUSP00000121233
P84102-1,ENSMUSP00000123181
Q5XK03-1,ENSMUSP00000051261
E9Q6R7-1,ENSMUSP00000151431
E9Q9K5-1,ENSMUSP00000093436
Q6TYB5-1,ENSMUSP00000068987
Q99LL5-1,ENSMUSP00000001836
A0A075B612-1,ENSMUSP00000100374
Q8JZZ7-1,ENSMUSP00000101734
Q9Z273-1,ENSMUSP00000049070
Q3U7U4-1,ENSMUSP00000096354
Q9Z275-1,ENSMUSP00000137143
A0A0G2JDF0-1,ENSMUSP00000142343
Q9Z277-1,ENSMUSP00000002825
E9Q5A6-1,ENSMUSP00000052557
P70451-1,ENSMUSP00000000129
Q8BI57-1,ENSMUSP00000053786
Q99MR6-1,ENSMUSP00000043123
Q9JIT1-1,ENSMUSP00000132213
Q80VM7-1,ENSMUSP00000112932
A2AFR3-1,ENSMUSP00000107777
B1AZI6-1,ENSMUSP00000044677
Q9WVL7-1,ENSMUSP00000031322
P61750-1,ENSMUSP00000022429
Q9WVL3-1,ENSMUSP00000017900
L7N2D0-1,ENSMUSP00000131656
K7N788-1,ENSMUSP00000135592
L7N2D2-1,ENSMUSP00000131885
L7N2D9-1,ENSMUSP00000132382
Q9JI74-1,ENSMUSP00000022666
Q8BTM9-1,ENSMUSP00000032811
Q9QUN5-1,ENSMUSP00000018066
Q91ZD4-1,ENSMUSP00000106894
P58406-1,ENSMUSP00000049963
Q04692-1,ENSMUSP00000031984
Q9QUN3-1,ENSMUSP00000057844
E9PZM4-1,ENSMUSP00000126352
E9PZM7-1,ENSMUSP00000044898
Q61188-1,ENSMUSP00000080419
Q9QUN9-1,ENSMUSP00000033036
Q8BFZ4-1,ENSMUSP00000035248
G3X9Y6-1,ENSMUSP00000112666
P97348-1,ENSMUSP00000036031
Q9D9T6-1,ENSMUSP00000050509
Q9WV71-1,ENSMUSP00000040331
Q99LV7-1,ENSMUSP00000093819
Q91Z69-1,ENSMUSP00000020322
P24529-1,ENSMUSP00000000219
Q91Z67-1,ENSMUSP00000095195
Q3U1D0-1,ENSMUSP00000112404
Q8K0H1-1,ENSMUSP00000010267
P06909-1,ENSMUSP00000066677
Q00977-1,ENSMUSP00000054343
Q9D306-1,ENSMUSP00000131551
Q5NBU5-1,ENSMUSP00000104144
Q8R4P4-1,ENSMUSP00000125843
O35310-1,ENSMUSP00000051055
Q9QYZ9-1,ENSMUSP00000024936
Q5NBU8-1,ENSMUSP00000123011
Q9R210-1,ENSMUSP00000084151
Q8BHA9-1,ENSMUSP00000077571
Q9DCS2-1,ENSMUSP00000026827
Q99PI5-1,ENSMUSP00000119282
Q14AT5-1,ENSMUSP00000140438
Q3V0U0-1,ENSMUSP00000096077
Q9EPS6-1,ENSMUSP00000077552
Q9WUZ5-1,ENSMUSP00000122925
Q8VGX9-1,ENSMUSP00000095774
Q8VF27-1,ENSMUSP00000095775
Q8C6I2-1,ENSMUSP00000025570
Q91YI1-1,ENSMUSP00000028678
Q91YI0-1,ENSMUSP00000123799
Q6PHZ5-1,ENSMUSP00000059330
Q8BG99-1,ENSMUSP00000079578
Q91YI4-1,ENSMUSP00000099623
A0A1B0GSN5-1,ENSMUSP00000150911
Q9WUZ9-1,ENSMUSP00000105901
O70279-1,ENSMUSP00000156085
Q08890-1,ENSMUSP00000099046
Q6TDP3-1,ENSMUSP00000101194
F6XZJ7-1,ENSMUSP00000138551
Q8VDS3-1,ENSMUSP00000105244
O70274-1,ENSMUSP00000125901
Q80TM9-1,ENSMUSP00000022469
Q69Z99-1,ENSMUSP00000075613
Q69Z98-1,ENSMUSP00000134201
P35278-1,ENSMUSP00000102987
Q8K368-1,ENSMUSP00000044931
Q61282-1,ENSMUSP00000032835
P62812-1,ENSMUSP00000020707
Q8BTH8-1,ENSMUSP00000145947
P16879-1,ENSMUSP00000079733
Q7TSI3-1,ENSMUSP00000066736
P22682-1,ENSMUSP00000146244
A0A0U1RQ84-1,ENSMUSP00000146286
Q5NCY3-1,ENSMUSP00000059709
Q5NCY0-1,ENSMUSP00000091620
A0A075B5Y4-1,ENSMUSP00000100329
Q9ESN9-1,ENSMUSP00000085683
Q9ESN6-1,ENSMUSP00000103319
Q9ESN4-1,ENSMUSP00000056188
Q0PHV7-1,ENSMUSP00000104133
Q9ESN3-1,ENSMUSP00000025010
P83510-1,ENSMUSP00000124681
Q8BFQ4-1,ENSMUSP00000020490
E9PUL3-1,ENSMUSP00000124581
Q8CDN9-1,ENSMUSP00000124394
E9PUL5-1,ENSMUSP00000124520
Q8CE13-1,ENSMUSP00000059848
Q9JIZ0-1,ENSMUSP00000124488
Q8CGQ8-1,ENSMUSP00000078030
K7N5P2-1,ENSMUSP00000036997
Q99MR8-1,ENSMUSP00000029259
Q6PCQ0-1,ENSMUSP00000045913
Q6P1D5-1,ENSMUSP00000078454
Q8BH53-1,ENSMUSP00000053206
B1AY64-1,ENSMUSP00000108192
Q9EQQ7-1,ENSMUSP00000102493
Q6ZWU9-1,ENSMUSP00000132102
Q91XE8-1,ENSMUSP00000048832
Q8BTU1-1,ENSMUSP00000034249
Q99LI2-1,ENSMUSP00000029483
Q8VI75-1,ENSMUSP00000036555
Q99LI5-1,ENSMUSP00000039003
P10630-1,ENSMUSP00000023599
Q99LI7-1,ENSMUSP00000028599
Q91XE0-1,ENSMUSP00000043308
Q99LI9-1,ENSMUSP00000129300
Q9D5T2-1,ENSMUSP00000035514
Q91XE4-1,ENSMUSP00000158093
Q9D5T7-1,ENSMUSP00000029754
Q91XE7-1,ENSMUSP00000044110
Q61508-1,ENSMUSP00000112665
O35495-1,ENSMUSP00000030763
P53762-1,ENSMUSP00000099810
Q8BGV0-1,ENSMUSP00000044937
Q9WVB3-1,ENSMUSP00000071905
Q9EQQ3-1,ENSMUSP00000039312
P61205-1,ENSMUSP00000050689
Q8K2F8-1,ENSMUSP00000082723
Q8BUM3-1,ENSMUSP00000045803
O35906-1,ENSMUSP00000035539
Q61450-1,ENSMUSP00000099958
P62080-1,ENSMUSP00000029800
P56395-1,ENSMUSP00000124480
A6H6J9-1,ENSMUSP00000091858
D3Z642-1,ENSMUSP00000113354
Q9QZ88-1,ENSMUSP00000121020
Q9CZS3-1,ENSMUSP00000023357
Q8K2Z8-1,ENSMUSP00000059798
P56394-1,ENSMUSP00000112386
D3Z649-1,ENSMUSP00000113333
Q9EQQ9-1,ENSMUSP00000026243
Q3TBT3-1,ENSMUSP00000111393
A0A3Q4EG79-1,ENSMUSP00000157057
Q9ERD7-1,ENSMUSP00000071134
Q9ERD6-1,ENSMUSP00000063872
Q9ERD8-1,ENSMUSP00000023074
Q8C7R7-1,ENSMUSP00000116057
J3QP87-1,ENSMUSP00000137146
P56390-1,ENSMUSP00000075250
G3UXT0-1,ENSMUSP00000133811
P00520-1,ENSMUSP00000028190
P56393-1,ENSMUSP00000033582
G3X952-1,ENSMUSP00000041821
O88379-1,ENSMUSP00000039757
O70585-1,ENSMUSP00000126194
Q9JK45-1,ENSMUSP00000029667
Q02650-1,ENSMUSP00000014174
Q9EP72-1,ENSMUSP00000068610
O88307-1,ENSMUSP00000058613
Q9JLQ4-1,ENSMUSP00000112847
Q99KU6-1,ENSMUSP00000066224
P08730-1,ENSMUSP00000007275
Q8VCU1-1,ENSMUSP00000090909
Q8VCU0-1,ENSMUSP00000021682
O08811-1,ENSMUSP00000054380
Q8C754-1,ENSMUSP00000025178
Q9QXE0-1,ENSMUSP00000114922
Q8VII3-1,ENSMUSP00000028933
H3BKQ3-1,ENSMUSP00000135479
H3BJZ2-1,ENSMUSP00000135184
Q6P5E4-1,ENSMUSP00000037930
Q811I0-1,ENSMUSP00000158943
Q8R081-1,ENSMUSP00000049407
Q8C1M2-1,ENSMUSP00000071318
Q499D0-1,ENSMUSP00000036035
O88454-1,ENSMUSP00000025908
Q80W69-1,ENSMUSP00000043802
Q9R0Q3-1,ENSMUSP00000054834
Q9CWR8-1,ENSMUSP00000121562
Q149C2-1,ENSMUSP00000042391
E9PWM3-1,ENSMUSP00000132914
Q99LJ7-1,ENSMUSP00000022702
Q9R0Q4-1,ENSMUSP00000126363
Q1RNF8-1,ENSMUSP00000151756
J3QN64-1,ENSMUSP00000158732
O88452-1,ENSMUSP00000020546
E9Q8Q6-1,ENSMUSP00000128736
Q67BT3-1,ENSMUSP00000021161
Q5U458-1,ENSMUSP00000051643
Q9D7F7-1,ENSMUSP00000029049
Q91XX1-1,ENSMUSP00000076085
P35123-1,ENSMUSP00000035237
Q9R0H0-1,ENSMUSP00000072717
Q9CZ13-1,ENSMUSP00000026743
Q80V72-1,ENSMUSP00000082091
Q9DCS3-1,ENSMUSP00000030742
P48193-1,ENSMUSP00000101601
A0A087WRT9-1,ENSMUSP00000139915
Q50E62-1,ENSMUSP00000093548
P27467-1,ENSMUSP00000010044
M0QWD8-1,ENSMUSP00000137781
A0A140T8K0-1,ENSMUSP00000074515
O88876-1,ENSMUSP00000122552
Q6P9L4-1,ENSMUSP00000024779
Q01965-1,ENSMUSP00000069319
E9PV37-1,ENSMUSP00000051631
Q62481-1,ENSMUSP00000009102
Q68FL4-1,ENSMUSP00000110897
D4AFX7-1,ENSMUSP00000139804
Q8BG81-1,ENSMUSP00000054548
Q14DN9-1,ENSMUSP00000159079
P04370-1,ENSMUSP00000046185
Q8BGH2-1,ENSMUSP00000023071
Q8K2T1-1,ENSMUSP00000078132
Q9CR73-1,ENSMUSP00000030436
G5E8S3-1,ENSMUSP00000111346
Q9Z0Y2-1,ENSMUSP00000031495
O55028-1,ENSMUSP00000070345
Q75N62-1,ENSMUSP00000145255
Q3UTQ6-1,ENSMUSP00000074510
Q3UTQ8-1,ENSMUSP00000084342
P40124-1,ENSMUSP00000068260
Q8CC70-1,ENSMUSP00000063450
Q9ERB5-1,ENSMUSP00000032362
A0JP43-1,ENSMUSP00000104037
A0A140T8K7-1,ENSMUSP00000150616
Q8VEK6-1,ENSMUSP00000031680
Q91ZU0-1,ENSMUSP00000122395
Q8BQC3-1,ENSMUSP00000149084
Q8VEK2-1,ENSMUSP00000049060
Q8VEK0-1,ENSMUSP00000034878
A0A2R8VJU7-1,ENSMUSP00000154901
Q8BQC8-1,ENSMUSP00000059273
Q923B1-1,ENSMUSP00000070991
Q923B0-1,ENSMUSP00000037278
Q923B6-1,ENSMUSP00000111081
Q8BUN5-1,ENSMUSP00000034973
Q8K007-1,ENSMUSP00000136014
Q8BJ56-1,ENSMUSP00000127149
P31750-1,ENSMUSP00000001780
P52792-1,ENSMUSP00000099984
Q99MB7-1,ENSMUSP00000102293
Q9Z2Y8-1,ENSMUSP00000033875
Q9Z1P7-1,ENSMUSP00000040126
O88736-1,ENSMUSP00000027989
Q9Z2D3-1,ENSMUSP00000031845
P43135-1,ENSMUSP00000032768
Q9QYJ7-1,ENSMUSP00000113985
Q9Z1Z0-1,ENSMUSP00000031355
Q9Z1Z2-1,ENSMUSP00000068267
Q921M4-1,ENSMUSP00000109004
Q8C0V9-1,ENSMUSP00000052202
Q8C0V0-1,ENSMUSP00000035961
